y,y_bpred,
288.6802887,278.0747119,10.60557686
288.9022523,278.6172163,10.28503592
288.9022523,278.3864907,10.51576156
288.9022523,277.4650197,11.43723255
289.1423767,273.0847945,16.05758228
289.1423767,263.0023856,26.13999113
290.5417682,274.3367362,16.20503205
290.8463263,278.375089,12.47123728
290.8463263,274.1379775,16.70834878
293.0990053,268.2501244,24.84888087
293.4613243,280.3275714,13.13375286
293.8735278,282.692243,11.18128475
293.8735278,282.6007163,11.27281149
294.2410978,282.3539382,11.88715953
294.2410978,280.2183397,14.02275807
296.9348607,276.4891273,20.44573347
299.5813648,275.3286981,24.25266664
299.5944923,287.7585234,11.83596882
300.0618313,280.3927588,19.66907241
300.9308718,290.1091927,10.82167905
301.2354297,290.1948402,11.0405896
301.5609918,259.1733204,42.38767132
301.5609918,257.0693276,44.49166418
303.607569,287.3542557,16.25331331
303.607569,284.5118246,19.09574436
303.607569,284.4409539,19.16661508
303.607569,283.3081518,20.29941723
306.689906,287.6340161,19.0558899
306.689906,279.9845837,26.70532229
309.9363368,281.8203875,28.1159492
309.9363368,279.2024394,30.73389739
309.9363368,279.0303438,30.90599292
309.9363368,274.2787034,35.65763332
312.0026053,291.2379501,20.76465515
312.0026053,291.0372259,20.96537933
317.7603268,290.2126414,27.54768538
320.8426638,295.8514481,24.99121565
322.8720848,312.127654,10.74443079
322.8720848,311.9707832,10.90130157
322.8720848,308.7203137,14.15177104
354.4714245,337.1505669,17.3208576
354.4714245,329.2008061,25.27061839
365.5982495,346.4644608,19.13378868
365.5982495,342.6297585,22.96849101
375.714301,357.6217495,18.09255149
375.714301,350.5294525,25.18484853
382.2728,353.2897361,28.98306386
382.2728,351.6819425,30.59085754
382.2728,342.553177,39.71962303
405.258545,393.39416,11.86438498
405.258545,376.9257506,28.33279436
405.258545,376.5409413,28.71760374
405.258545,352.9927922,52.26575283
408.9295015,385.3077118,23.62178965
408.9295015,373.638402,35.29109947
408.9295015,358.6950867,50.23441476
409.2288085,373.6672767,35.56153182
409.2288085,349.3808169,59.84799157
431.385403,379.0163618,52.36904115
431.385403,368.0746032,63.31079983
453.5945075,440.0162255,13.57828202
453.5945075,436.3158077,17.2786998
453.5945075,436.0913765,17.503131
453.7257825,441.8015449,11.92423759
464.534966,436.8564393,27.67852666
464.534966,435.4005862,29.13437982
509.478275,497.4717802,12.00649483
512.266556,495.5823985,16.68415754
518.1292975,504.0495537,14.07974381
524.5880275,510.171677,14.41635049
524.7613105,510.8513321,13.90997841
541.0761675,518.8405091,22.23565837
541.0761675,511.5722325,29.50393501
